acc_x,speed_x_km,time,acc_y,speed_y_km,speed
1.3468143,-25.3032,92,-0.24551699,-118.2478,121
1.3831241,-20.3239,93,0.030001879,-118.1398,120
1.5081501,-20.3239,93,-0.7283976,-118.1398,120
2.4656324,-11.4477,94,1.1205983,-114.1056,115
2.9211383,-11.4477,94,1.4489026,-114.1056,115
-0.22984242,-12.2751,95,-0.24654001,-114.9932,116
-0.44739318,-12.2751,95,-0.15190879,-114.9932,116
-0.56222916,-14.2991,96,-0.65438116,-117.3489,118
0.4115641,-14.2991,96,0.042383313,-117.3489,118
0.46595332,-12.6217,97,-0.095154345,-117.6915,118
-0.6504388,-12.6217,97,0.4122701,-117.6915,118
0.27608275,-11.6278,98,0.9717251,-114.1933,115
0.033694804,-11.5065,99,-0.31645733,-115.3325,116
-0.47366485,-11.5065,99,-1.249366,-115.3325,116
-0.8804009,-14.6759,100,-2.8645391,-125.6449,126
0.70215744,-14.6759,100,-0.95216656,-125.6449,126
0.43999004,-13.0920,101,-1.0625124,-129.4699,130
1.0945218,-13.0920,101,1.8745843,-129.4699,130
0.8049816,-10.1940,102,1.7169311,-123.2890,124
0.9089587,-10.1940,102,0.055555254,-123.2890,124
1.4945823,-4.8135,103,-0.39365062,-124.7061,125
1.0354649,-4.8135,103,0.9542857,-124.7061,125
0.7366115,-2.1617,104,0.21815073,-123.9208,124
-0.8681025,-5.2869,105,-0.5753273,-125.9919,126
0.28724444,-5.2869,105,-0.7521808,-125.9919,126
-0.017083287,-5.3484,106,-0.9111153,-129.2719,129
-0.26180148,-5.3484,106,1.0792468,-129.2719,129
0.10718858,-4.9625,107,0.22550416,-128.4601,129
0.26969326,-4.9625,107,0.25649464,-128.4601,129
-1.0493588,-8.7402,108,-0.057889342,-128.6685,129
1.166327,-8.7402,108,0.41719687,-128.6685,129
0.4214766,-7.2229,109,0.006705582,-128.6444,129
0.74109757,-7.2229,109,-0.68803275,-128.6444,129
0.003059864,-7.2119,110,-0.15773511,-129.2122,129
0.11086357,-7.2119,110,0.13982368,-129.2122,129
-1.4066336,-12.2758,111,-0.8859638,-132.4017,133
-0.45237327,-13.9043,112,-0.23169965,-133.2358,134
0.42708433,-13.9043,112,-1.1626518,-133.2358,134
0.02377677,-13.8187,113,-1.017384,-136.8984,138
0.35229635,-13.8187,113,0.16817701,-136.8984,138
-0.5021113,-15.6263,114,-0.59638023,-139.0454,140
0.86293936,-15.6263,114,1.1610756,-139.0454,140
0.65656686,-13.2627,115,3.1134374,-127.8370,129
0.7382579,-13.2627,115,2.7755985,-127.8370,129
0.94025826,-9.8777,116,2.6351173,-118.3506,119
0.29781747,-9.8777,116,0.9250912,-118.3506,119
-0.06891489,-10.1258,117,-0.19098556,-119.0381,119
-0.5749512,-10.1258,117,0.52007544,-119.0381,119
-1.5283318,-15.6278,118,0.120087385,-118.6058,120
-0.016088963,-15.6858,119,0.5220692,-116.7264,118
-0.2522025,-15.6858,119,0.39406157,-116.7264,118
-0.87330306,-18.8296,120,0.8280182,-113.7455,115
0.41100574,-18.8296,120,0.465259,-113.7455,115
-0.835463,-21.8373,121,0.06466508,-113.5127,116
0.12690246,-21.8373,121,0.62205625,-113.5127,116
-0.34778166,-23.0893,122,1.2425287,-109.0396,111
-0.8357254,-23.0893,122,-0.24015647,-109.0396,111
1.3981141,-18.0561,123,0.96779203,-105.5556,107
-0.06099105,-18.0561,123,0.59770936,-105.5556,107
0.6327003,-15.7784,124,-0.9582927,-109.0054,110
0.14780664,-15.7784,124,-0.8298882,-109.0054,110
0.21284509,-15.0121,125,-0.8082768,-111.9152,113
-1.2131345,-19.3794,126,-1.3872218,-116.9092,119
-0.43668008,-19.3794,126,-1.9583706,-116.9092,119
1.0459647,-15.6140,127,-0.1511172,-117.4532,118
0.34868884,-15.6140,127,-0.32196426,-117.4532,118
-0.12926054,-16.0793,128,0.39406145,-116.0346,117
0.58610845,-16.0793,128,-0.19526601,-116.0346,117
0.28875208,-15.0398,129,-0.77923656,-118.8399,120
-0.13758135,-15.0398,129,-0.010386229,-118.8399,120
-0.5673474,-17.0822,130,0.6228787,-116.5975,118
-0.019729376,-17.0822,130,2.523957,-116.5975,118
