acc_x,speed_x_km,time,acc_y,speed_y_km,speed,label,timestamp
-0.86898947,-13.9479,126,-0.39067304,8.2510,16,0,3581755
-0.1644237,-14.5398,127,0.11209062,8.6545,17,0,3581756
0.12945437,-14.5398,127,-0.2682078,8.6545,17,0,3581756
0.8975003,-11.3088,128,0.10565305,9.0348,14,0,3581757
-0.11232734,-11.7132,129,0.08000988,9.3229,15,0,3581758
0.36923146,-11.7132,129,0.13370782,9.3229,15,0,3581758
-0.04753065,-11.8843,130,-0.90254694,6.0737,13,0,3581759
-1.434068,-11.8843,130,-0.23500597,6.0737,13,0,3581759
-0.719424,-14.4742,131,-0.31265676,4.9481,15,0,3581760
-0.02423501,-14.4742,131,0.7194964,4.9481,15,0,3581760
-2.003489,-21.6868,132,-1.4315805,-0.2055,22,0,3581761
0.59080505,-21.6868,132,-0.81345344,-0.2055,22,0,3581761
-0.38942766,-23.0887,133,-0.8579493,-3.2942,23,0,3581762
-1.1717485,-23.0887,133,-1.6960604,-3.2942,23,0,3581762
-0.93708,-26.4622,134,-0.89317477,-6.5096,27,0,3581763
-2.6852078,-26.4622,134,-0.235533,-6.5096,27,0,3581763
-2.099313,-34.0197,135,-0.9967143,-10.0978,35,0,3581764
-2.6120398,-43.4231,136,-0.025721729,-10.1904,45,0,3581765
-0.7398677,-43.4231,136,1.3327417,-10.1904,45,0,3581765
-1.1883842,-47.7012,137,-1.438625,-15.3694,50,0,3581766
-1.26089,-47.7012,137,-0.1453346,-15.3694,50,0,3581766
0.3511001,-46.4373,138,0.10805577,-14.9804,49,0,3581767
-0.4742744,-46.4373,138,-1.3817658,-14.9804,49,0,3581767
0.26002562,-45.5012,139,2.7709599,-5.0050,46,0,3581768
0.43747294,-45.5012,139,-0.53117573,-5.0050,46,0,3581768
1.1599375,-41.3254,140,-0.07919885,-5.2901,42,0,3581769
-0.0811069,-41.3254,140,-1.4759502,-5.2901,42,0,3581769
-1.1152251,-45.3402,141,0.61241245,-3.0854,45,0,3581770
0.06557977,-45.3402,141,-0.18764496,-3.0854,45,0,3581770
